Book Name,Total Tokens,Unique Tokens,Min Colors
AbsalomAbsalom.txt,70,54,3
AbsalomAbsalom.txt,45,35,3
AbsalomAbsalom.txt,42,35,3
AbsalomAbsalom.txt,103,74,3
AbsalomAbsalom.txt,45,37,3
AbsalomAbsalom.txt,103,72,3
AbsalomAbsalom.txt,51,37,3
AbsalomAbsalom.txt,46,39,3
AbsalomAbsalom.txt,10,10,2
AbsalomAbsalom.txt,60,46,3
AbsalomAbsalom.txt,79,59,3
AbsalomAbsalom.txt,159,102,3
AbsalomAbsalom.txt,13,13,2
AbsalomAbsalom.txt,9,9,2
AbsalomAbsalom.txt,11,11,2
AbsalomAbsalom.txt,50,43,3
AbsalomAbsalom.txt,13,13,2
AbsalomAbsalom.txt,29,29,2
AbsalomAbsalom.txt,6,6,2
AbsalomAbsalom.txt,93,72,3
AbsalomAbsalom.txt,23,22,2
AbsalomAbsalom.txt,17,15,3
AbsalomAbsalom.txt,38,27,3
AbsalomAbsalom.txt,6,6,2
AbsalomAbsalom.txt,23,22,3
AbsalomAbsalom.txt,42,31,3
AbsalomAbsalom.txt,43,36,3
AbsalomAbsalom.txt,45,38,3
AbsalomAbsalom.txt,108,83,3
AbsalomAbsalom.txt,49,37,3
AbsalomAbsalom.txt,112,81,3
AbsalomAbsalom.txt,28,25,3
AbsalomAbsalom.txt,18,18,2
AbsalomAbsalom.txt,48,36,3
AbsalomAbsalom.txt,59,46,3
AbsalomAbsalom.txt,57,47,3
AbsalomAbsalom.txt,93,66,3
AbsalomAbsalom.txt,61,48,3
AbsalomAbsalom.txt,21,20,3
AbsalomAbsalom.txt,62,41,3
AbsalomAbsalom.txt,18,17,2
AbsalomAbsalom.txt,6,6,2
AbsalomAbsalom.txt,38,30,3
AbsalomAbsalom.txt,42,35,3
AbsalomAbsalom.txt,45,36,3
AbsalomAbsalom.txt,24,21,3
AbsalomAbsalom.txt,26,23,2
AbsalomAbsalom.txt,55,47,3
AbsalomAbsalom.txt,22,19,2
AbsalomAbsalom.txt,20,19,2
AbsalomAbsalom.txt,105,78,3
AbsalomAbsalom.txt,12,12,2
AbsalomAbsalom.txt,36,30,3
AbsalomAbsalom.txt,9,9,2
AbsalomAbsalom.txt,136,88,3
AbsalomAbsalom.txt,43,40,3
AbsalomAbsalom.txt,28,21,3
AbsalomAbsalom.txt,20,17,3
AbsalomAbsalom.txt,90,61,3
AbsalomAbsalom.txt,20,20,2
AbsalomAbsalom.txt,54,43,3
AbsalomAbsalom.txt,42,32,3
AbsalomAbsalom.txt,37,30,3
AbsalomAbsalom.txt,76,56,3
AbsalomAbsalom.txt,33,29,3
AbsalomAbsalom.txt,39,35,3
AbsalomAbsalom.txt,25,23,3
AbsalomAbsalom.txt,33,32,3
AbsalomAbsalom.txt,10,10,2
AbsalomAbsalom.txt,15,13,2
AbsalomAbsalom.txt,49,29,3
AbsalomAbsalom.txt,33,28,3
AbsalomAbsalom.txt,15,11,3
AbsalomAbsalom.txt,10,10,2
AbsalomAbsalom.txt,14,13,2
AbsalomAbsalom.txt,55,47,3
AbsalomAbsalom.txt,111,74,3
AbsalomAbsalom.txt,22,18,3
AbsalomAbsalom.txt,62,48,3
AbsalomAbsalom.txt,96,67,4
AbsalomAbsalom.txt,97,73,3
AbsalomAbsalom.txt,26,23,2
AbsalomAbsalom.txt,44,36,3
AbsalomAbsalom.txt,144,91,3
AbsalomAbsalom.txt,113,77,3
AbsalomAbsalom.txt,14,13,2
AbsalomAbsalom.txt,15,14,3
AbsalomAbsalom.txt,5,5,2
AbsalomAbsalom.txt,36,22,3
AbsalomAbsalom.txt,18,17,2
AbsalomAbsalom.txt,5,5,2
AbsalomAbsalom.txt,16,15,2
AbsalomAbsalom.txt,55,47,3
AbsalomAbsalom.txt,44,39,2
AbsalomAbsalom.txt,40,34,3
AbsalomAbsalom.txt,5,5,2
AbsalomAbsalom.txt,24,18,3
AbsalomAbsalom.txt,34,27,3
AbsalomAbsalom.txt,65,56,3
AbsalomAbsalom.txt,54,43,3
AbsalomAbsalom.txt,4,4,2
AbsalomAbsalom.txt,46,39,3
AbsalomAbsalom.txt,66,52,3
AbsalomAbsalom.txt,37,32,3
AbsalomAbsalom.txt,69,52,3
AbsalomAbsalom.txt,101,74,3
AbsalomAbsalom.txt,158,100,3
AbsalomAbsalom.txt,6,6,2
AbsalomAbsalom.txt,3,3,2
AbsalomAbsalom.txt,46,41,3
AbsalomAbsalom.txt,5,5,2
AbsalomAbsalom.txt,22,22,2
AbsalomAbsalom.txt,103,70,3
AbsalomAbsalom.txt,34,31,3
AbsalomAbsalom.txt,11,11,2
AbsalomAbsalom.txt,12,11,3
AbsalomAbsalom.txt,7,7,2
AbsalomAbsalom.txt,29,25,3
AbsalomAbsalom.txt,116,84,3
AbsalomAbsalom.txt,71,53,3
AbsalomAbsalom.txt,37,29,3
AbsalomAbsalom.txt,9,9,2
AbsalomAbsalom.txt,73,57,3
